id,title,author,age,annotation
war_and_peace,Война и мир,Л.Н.Толстой,16+,"Роман Льва Толстого "Война и мир" лежит в основании величественного здания русской классической литературы. С непревзойденным мастерством Толстой воссоздал великую духом Россию - образы этой "книги на все времена" и сейчас пленяют свежестью чувств и щедростью души, искренностью страстей, силой и чистотой убеждений. «Война и мир» Л. Н. Толстого — книга на все времена. Кажется, что она существовала всегда, настолько знакомым кажется текст, едва мы открываем первые страницы романа, настолько памятны многие его эпизоды: охота и святки, первый бал Наташи Ростовой, лунная ночь в Отрадном, князь Андрей в сражении при Аустерлице... Сцены «мирной», семейной жизни сменяются картинами, имеющими значение для хода всей мировой истории, но для Толстого они равноценны, связаны в едином потоке времени. Каждый эпизод важен не только для развития сюжета, но и как одно из бесчисленных проявлений жизни, которая насыщена в каждом своем моменте и которую учит любить Толстой"
a_hero_of_our_time,Герой нашего времени,М.Ю.Лермонтов,12+,"Психологический роман о характере человека, внутреннем конфликте, разочаровании и выборе."
chernaya_kur,Черная курица или Подземные жители,А.Погорельский,9+,"Этой чудесной сказке Антония Погорельского уже без малого 200 лет, но она по-прежнему остается одним из лучших произведений русской литературы для детей. …Какой маленький мальчик не мечтает о приключениях? Вот и Алеша, юный воспитанник петербургского пансиона, тоже надеется встретить что-нибудь волшебное и удивительное. И вот однажды он спасает от ножа кухарки черную курицу по имени Чернушка. Алеша и не догадывается, что курица эта не простая. На самом деле Чернушка - могущественный министр в волшебном подземном королевстве. И теперь Алешу ждут настоящие волшебные приключения. Но будут ли они такими, как он ожидает?..Волшебные персонажи сказки оживают в замечательных иллюстрациях известного художника Анатолия Елисеева.Для младшего школьного возраста."
bednaya_liza,Бедная Лиза, Николай Карамзин,12+,"Душещипательная история о том, как дворянин соблазнил крестьянку, а после ночи любви бросил ее. Произведение считается образцом русской сентиментальной повести. "Бедная Лиза" покорила читателей необычным сюжетом и трагической развязкой."
gore_ot_uma,Горе от ума,А.С.Грибоедов,12+,"По сюжету, из-за границы домой приезжает молодой человек прогрессивных взглядов Александр Чацкий. Он едет в гости к юной возлюбленной Софье и намерен просить у ее отца руки девушки. Однако оказывается, что Софья уже влюблена в другого - не слишком приятного человека, который пытается всем угодить. «Новый» человек Чацкий чувствует себя чужим и со всеми ссорится..."
evgeniy_onegin,Евгений Онегин,А.С.Пушкин,12+,"Автор рисует картину жизни провинциальной усадьбы и деревенский уклад жизни, изображает светский Петербург и старую Москву.Молодой Онегин из столицы приезжает в деревню, он скучает, хочет как-то развлечь себя, но оказывается в пучине настоящих драм - соседская дочь признается ему в любви, а из-за ее сестры другой сосед вызывает Онегина на дуэль..."
boris_godunov,Борис Годунов,А.С.Пушкин,12+,"В пьесе Пушкин приводит одну из самых загадочных страниц русской истории - убийство царевича Дмитрия и Смутное время с появлением самозванца Лжедмитрия. Благодаря поэту в народном сознании растиражирована легенда о том, что Борис Годунов приказал убить царевича Дмитрия - и что история наказывает его за это."
povesti_belkina,Повести Белкина,А.С.Пушкин,16+,"Здесь и сентиментальная история о дворянке, которая наряжается крестьянкой для знакомства с красавцем-соседом, в то время как их отцы враждуют. И романтическая история о дуэли, в которой один из участников решил отложить свой выстрел и приглашает оппонента вернуться к поединку спустя несколько лет. И невероятная история про случайно женившегося офицера…"
medny_vsadnik,Медный Всадник,А.С.Пушкин,12+,"Здесь масса описаний красот города, однако, сюжет вращается вокруг печальной истории - Пушкин описывает сильнейшее наводнение, которое случилось в городе в 1824 году. Герой Евгений понимает, что дом его невесты снесло водой, и она погибла. Он сходит с ума и бегает по городу, наблюдая ужасные картины стихийного бедствия…"
pikovaya_dama,Пиковая дама,А.С.Пушкин,12+,"Это повесть о том, как карточная игра может довести до сумасшествия. Чтобы узнать заветную выигрышную комбинацию карт, молодой Германн проникает в спальню к старой графине - она от испуга умирает, а ее призрак начинает мерещиться герою, повторяя «тройка, семёрка, туз»… Вот только в реальности вместо туза ему выпадает пиковая дама с лицом старой графини."
kapitanskaya_dochka,Капитанская дочка,А.С.Пушкин,12+,"«Капитанская дочка» - роман о крестьянском восстании Емельяна Пугачева, которое захлестнуло почти всю Россию в XVIII веке. Но прежде всего, это произведение о чести, дворянском долге и о любви.Юный Петя Гринев едет служить в отдаленную пограничную крепость, по пути незнакомец помогает ему не заблудиться во время сильной метели. В благодарность Гринев отдает ему свой тулуп - и впоследствии это спасает ему жизнь, ибо незнакомцем оказывается сам Пугачев. Этот роман стоит прочитать хотя ради фразы, ставшей афоризмом: «Не приведи Бог видеть русский бунт — бессмысленный и беспощадный»."
vechera_na_hutore,Вечера на хуторе близ Диканьки,Н.В.Гоголь,12+,"Действие повестей этого сборника происходит в небольших селениях Российской Империи (на территории современной Украины). Гоголь обширно использует отдельные слова из украинского языка, а также образы местного фольклора. В повестях он описывает малоросские обычаи и народный уклад жизни. Повести очень разные - от веселой «Ночи перед Рождеством» до совершенного хоррора «Страшной мести». При этом во всех повестях нечистая сила, черти и ведьмы - полноценные герои. Сборник был тепло встречен современниками - в восторге от живости языка и образов  был, например, Пушкин."
mirgorod,Миргород,Н.В.Гоголь,16+,"сборник показывает, как привычный уклад жизни трескается по швам. Если «Вечера на хуторе близ Диканьки» были лёгкими и весёлыми, то здесь Гоголь показал мир, в котором за смехом кроется тревога. В «Миргороде» рядом уживаются покой и буря: идилия «Старосветских помещиков» и трагедия «Тараса Бульбы», мистический ужас «Вия» и абсурдная ссора Ивана Ивановича с Иваном Никифоровичем. Эти истории постепенно ведут к чувству утраты, после которого остаётся лишь сожаление: «Скучно на этом свете, господа!"
mertvye_dushi,Мертвые души,Н.В.Гоголь,12+,"Работа считается вершиной творчества Гоголя и одним из главных ключей к пониманию русской души.По сюжету мелкий дворянин Павел Чичиков приезжает в уездный город, и, чтобы набрать весу в обществе, выдает себя за помещика. Но вот неувязка - у него нет ни единой «души», то есть крепостных крестьян. Тогда он решает пойти на хитрость, подсказанную самой русской бюрократией - начинает скупать у местных богачей уже умерших крестьян, что по госреестрам еще числятся в живых (перепись населения в те времена была редкостью). Реакция на предложение у всех разная..."
revizor,Ревизор,Н.В.Гоголь,12+,"Одна из главных русских комедий о коррупции, лизоблюдстве и отношении власти к обычным людям, написана в форме пьесы - она и сегодня ставится в огромном количестве театров. По сюжету, в крохотном городке ждут тайного приезда чиновника из столицы с ревизией. Однако за важную персону по ошибке принимают мелкого чиновника, который случайно оказался в городе и напрочь проигрался в карты. Впрочем, авантюрист не спешит разубеждать городничего и его подчиненных в ошибке - напротив, решает пользоваться их услугами, принимает взятки и даже собирается жениться на дочери городничего…"
oblomov,Обломов,И.А.Гончаров,12+,"Роман о русской лени ввел в разговорную речь понятие «обломовщина». Герой Гончарова Илья Обломов только и делает, что лежит. Он дворянин с поместьем, а значит, ему не нужно ни служить, ни работать... За него все делает верный слуга, а также персонаж-антипод - деятельный Андрей Штольц. Единственный момент в жизни, когда Обломов ненадолго выходит из своей мечтательного «сна» - это влюбленность. Однако сможет ли он довести дело до женитьбы? Интересно, что автор не принимает ничью сторону - ни ленивого Обломова, ни рационалиста Штольца."
zapiski_ohotnika,Записки охотника,И.С.Тургенев,12+,"Это сборник рассказов о сельских жителях европейской части России, мелкопоместных дворянах, дворне, крепостных и свободных крестьянах, об их быте и обычаях, сложности характеров: скаредности и бескорыстии, подлости и благородстве, любви и обмане, и кроме того о красоте природы России."
mumu,Муму,И.С.Тургенев,12+,"Этот небольшой рассказ - один из самых известных и печальных в русской литературе. А имена главных героев - крестьянина Герасима и его собаки по кличке Муму - стали нарицательными. Без лишних спойлеров скажем, что это рассказ о том, как помещики-самодуры издевались над своими крепостными в царской России, как не ценили их жизнь и чувства..."
dvoryanskoe_gnezdo,Дворянское гнездо,И.С.Тургенев,12+,"Тургенев поднимает вопросы дворянского сословия, противостояния России и Запада, а также фокусируется на вопросе моральных принципов.Разочарованный в европейской жизни Лаврецкий возвращается к себе в усадьбу в Россию, чтобы «пахать землю», и влюбляется в соседскую дочь Лизу. Их любовь взаимна, и, узнав о смерти жены, оставшейся в Европе, он делает  девушке предложение. Однако, вдруг оказывается, что жена все же жива. С разбитым сердцем Лиза уходит в монастырь…В романе сформировался образ так называемой «тургеневской девушки», невероятно сильной духом молодой особы, воспитанной в дворянском гнезде. Название этого романа Тургенева стало нарицательным."
otci_i_deti,Отцы и дети,И.С.Тургенев,12+,"Молодой Аркадий Кирсанов приезжает домой в усадьбу к отцу с другом Евгением Базаровым, студентом-нигилистом. Базаров учится на врача и собирается идти в народ, он отрицает любые авторитеты, спорит с отцом-помещиком и дядей-аристократом Аркадия, которые придерживаются либеральных взглядов. Но даже нигилист не может устоять перед любовью...Русские писатели и раньше касались темы конфликта поколений, однако, именно роман Тургенева обострил тему. Он также высмеял рафинированное дворянство, показав нового прогрессивного героя, и отметил, что настоящая жизнь - в труде, а не в праздности."
detstvo,Детство,Л.Н.Толстой,12+,"Один из первых глубоко психологичных произведений русской литературы. Толстому удается передать события и чувства глазами ребенка. Это первая часть автобиографической трилогии и попытка автора покопаться в самом себе и понять природу самых разных чувства. Толстой в подробностях разбирает обиду, стыд, стеснение, волнение - все, что переживает ребенок. Герой повести - маленький Николай. Он уезжает от любимой матери с отцом в Москву. Позже она умирает, и счастливое детство героя на этом заканчивается."
voskresenye,Воскресенье,Л.Н.Толстой,16+,"Последний роман Толстого, который он сам считал своим лучшим произведением. Это история искупления некогда распутного офицера. Он соблазнил невинную воспитанницу своей тетушки, и, оставив ей деньги, вновь уехал на службу. Для него это был лишь эпизод, а вот жизнь девушки была сломлена. В итоге они встречаются в суде: он в качестве скучающего присяжного, а она как подсудимая. Узнав ее страшную историю, герой переживает невероятный внутренний перелом. Он едет за ней на каторгу, чтобы облегчить существование... Роман отражает духовные метания самого Толстого и считается вершиной его размышлений о смысле жизни, доброте и служении людям."
groza,Гроза,А.Н.Островский,12+,"В одной из самых известных русских пьес действие разворачивается в вымышленном провинциальном городе. Тут живет патриархальная купеческая семья Кабановых. Молодая невестка Катерина страдает от жестокого обращения свекрови и безразличия мужа. Она привыкла к любящей атмосфере, которая была в ее семье до замужества. Катерина влюбляется в другого мужчину, тайно с ним встречается, но, не выдержав концентрации лжи, признается мужу в присутствии свекрови. Выход из положения Катерина находит лишь один…Критик-современник Николай Добролюбов назвал героиню «лучом света в темном царстве» - она мыслила шире, чем закостенелое общество, осмелилась жить, как требовало сердце, а не обстоятельства."
bespridannica,Бесприданница,А.Н.Островский,12+,"Еще одна остросоциальная пьеса Островского поднимает важнейший вопрос брака по расчету. Красавица Лариса пользуется большим успехом у мужчин, вот только у девушки, живущей с вдовствующей матерью, совершенно нет приданого. В поисках подходящей партии мать принимает в доме самых разных гостей-мужчин и дочь уже готова выйти замуж за первого встречного... Лариса влюблена в богатого судовладельца Паратова, и он, не в силах устоять, проводит с ней ночь, но на утро говорит, что у него уже есть другая, богатая невеста. Чтобы спасти честь Ларисы, купцы из гостей ее матери подкидывают монетку - кто увезет ее из города.Пьеса была прохладно встречена критиками - они считали, что это просто очередная работа о «глупенькой обольщенной девице». Однако работа повлияла на всю русскую драматургию благодаря сильной женской фигуре, которая не побоялась идти против общества, и живописанию общества мужчин, забывших про честь и достоинство. Постановка пьесы в театрах Москвы и Петербурга имела большой успех, также по мотивам драмы снят фильм “Жестокий романс” Эльдара Рязанова."
ledi_macbet,Леди Макбет Мценского уезда,Н.С.Лесков,16+,"Эта повесть о молодой купчихе Катерине Измайловой, живущей в Мценском уезде Орловской области. Ее муж постоянно в разъездах по работе, а она одна скучает в богатом доме. Катерина влюбляется в красавца-приказчика (продавца) Сергея, у них бурный роман, о котором случайно узнает свекр... Чтобы спасти возлюбленного Катерина решается на убийство, к тому же не одно.Критики-современники были в восторге от того, как Лесков изобразил «темноту» купеческого быта, в какой «трагический лубок» превратилось его красочное описание этой жизни, завязанной на деньгах и страстях."
levsha,Левша,Н.С.Лесков,12+,"Русский царь совершает визит в Англию, где ему показывают настоящее чудо инженерии - стальную блоху, созданную в натуральную (то есть очень маленькую) величину. В России задумались, чем бы эдаким удивить англичан в ответ. И тогда косой левша, мастер тульского оружейного завода, смог сделать невероятное - подковать блоху. Левше дают награды, а он на радостях напивается так, что умирает.Во времена Лескова пьянство было всероссийским бичом, и эта печальная повесть проливает свет на «русский» характер."
prestuplenie_i_nakazanie,Преступление и наказание,Ф.М.Достоевский,12+,"Бедный студент Родион Раскольников еле сводит концы с концами и вынужден брать  деньги в долг у старухи-процентщицы. Устав от нищенской жизни, он задается философским вопросом - тварь ли я дрожащая? Чтобы доказать самому себе, что это не так и что он сам вершит свою судьбу, решается на преступление - убить старуху…Достоевский рассуждает о природе насилия, о том, в какие обстоятельства может жизнь поставить человека, что он вынужден будет пойти на крайние меры - убийство или проституцию, как это сделала возлюбленная героя Соня Мармеладова. Роман еще и важное высказывание о поисках смысла жизни."
idiot,Идиот,Ф.М.Достоевский,12+,"Достоевскому обычно удавались образы порочных и аморальных людей, но в этом романе он решил показать не просто положительного персонажа, а едва ли не идеального человека с чертами практически Иисуса Христа. Князь Мышкин - очень наивный, доверчивый и непосредственный, оказывается в центре водоворота страстей, но среди лгунов и пьяниц он не теряет себя. И даже в женщине, которую все считают падшей, герой пытается найти самые прекрасные черты и проникается к ней искренней симпатией."
besy,Бесы,Ф.М.Достоевский,16+,"По сюжету, с возвращением из-за границы демонического красавца Ставрогина, в губернском городе начинаются непонятные поджоги и убийства, а также политические интриги… Это один из самых злободневных романов Достоевского, и его реакция на новые радикально-демократические настроения в России. В те годы появляется несколько террористических группировок и революционные идеи идут в общество. Глубоко верующий патриот Достоевский остро переживал все это, обвинял западников и нигилистов."
bratya_karamazovy,Братья Карамазовы,Ф.М.Достоевский,16+,"Один из самых важных романов Достоевского и квинтэссенция его размышлений о вере, морали, долге и любви. Эта поразительная история имеет форму детектива. Сюжет автор подсмотрел в криминальных сводках - один из трех сыновей обвинялся в убийстве отца. В деле замешан и денежный вопрос, и щекотливый любовный - якобы сын и отец не поделили юную красавицу. В романе писатель приводит обширную сцену суда и речей свидетелей и держит читателя в напряжении до конца."
istoriya_odnogo_goroda,История одного города,М.Е.Салтыков-Щедрин,12+,"В этой летописи вымышленного города Глупова, автор пишет сатиру на всю Россию и на ее историю. Это роман-хроника о правлении нескольких градоначальников. Все они взяточники, невежды и грешники. Чтобы вызвать максимальное отвращение у читателя, автор придает всем гротескные черты и активно использует аллегории и фантасмагорию в сюжете."
gospoda_golovlevy,Господа Головлевы,М.Е.Салтыков-Щедрин,12+,"Совершенно беспощадный к своим персонажам, Салтыков-Щедрин рисует беспросветную картину помещичьей жизни. Это роман об обнищании и гибели одной дворянской семьи, а на самом деле и всего русского дворянства. Автор представляет совсем другое «дворянское гнездо», не идиллический бастион семейных ценностей, но тлен и опустошение помещичьей жизни, а также апатию и лицемерие. Возможно, это первый пример в литературе столь «токсичных», как бы сейчас сказали, отношений внутри семьи. Властная вспыльчивая мать, сын-бездельник, прокутивший все деньги, сбежавшая с гусаром дочь... Роман был с восторгом встречен современниками."
komu_na_rusi,Кому на Руси жить хорошо,Н.А.Некрасов,16+,"Поэма вполне себе гомеровского толка, но основанная на русском фольклоре. Семеро мужиков спорят о том, кому на Руси вольготно и хорошо живется - священнику, купцу, богатому помещику или царю? Они отправляются в странствие на поиски счастливых людей… Но найдут ли они таковых? Поэму не пропускала царская цензура и Некрасову приходилось вносить правки и бороться за каждое слово - произведение обличает ужасное бедственное положение крестьян, критикует крепостное право (как и реформу по его отмене, которая и помещикам, и крестьянам сделала только хуже). Заботила Некрасова и судьба русских женщин - и их нелегкая доля очень красочно описана в произведении."
tri_sestry,Три сестры,А.П.Чехов,12+," Три сестры - девушки прогрессивных взглядов, их отец умер, и они живут с братом и принимают гостей. Они строят планы - уехать в Москву из провинциального города, работать, заниматься достойными делами. Однако, их возвышенные мечты так и остаются лишь мечтами, а разговоры - разговорами..."
vishnevy_sad,Вишневый сад,А.П.Чехов,12+,"Обедневшая помещица Раневская вынуждена продать за долги свой дом с чудесным вишневым садом. К ужасу героини, находится покупатель, который предлагает вырубить сад, а землю поделить и сдавать дачникам. Пьеса, заканчивающаяся стуком топоров в саду,  - о гибели дворянской жизни. Новый мир и уклад жизни беспощадно наступает на старый."
na_dne,На дне,Максим Горький,16+,"Самая известная пьеса пролетарского писателя Горького и настоящий гимн низшим слоям общества. Прочитав эту драму, Толстой удивленно сказал Горькому: «Зачем вы это пишете?» Он не мог представить, что публике будет интересна пьеса о ночном приюте для бездомных, где показаны без купюр проститутки и алкоголики."
